Index;Route_Instance;Supernet;Subnet;ASN;AS_Path;Destination_Interface;Local;Router
70;IX-KLWN1.inet.0;207.23.0.0/16;207.23.254.188/31;271;271;rlt0.50;No;cr1.mgmt.klwn1
71;IX-KLWN1.inet.0;207.23.0.0/16;207.23.254.216/30;271;271;rlt0.50;No;cr1.mgmt.klwn1
72;IX-KLWN1.inet.0;207.23.0.0/16;207.23.254.220/30;271;271;rlt0.50;No;cr1.mgmt.klwn1
73;IX-KLWN1.inet.0;207.23.0.0/16;207.23.254.252/32;271;271;lo0.3;Yes;cr1.mgmt.klwn1
74;IX-KLWN1.inet.0;207.23.0.0/16;207.23.254.253/32;271;271;rlt0.50;No;cr1.mgmt.klwn1
75;TRANSIT-KELTX1.inet.0;209.87.0.0/18;209.87.62.0/24;55185;852 13768 55185;xe-3/0/0.0;No;cr1.mgmt.klwn1
76;TRANSIT-KELTX1.inet.0;209.87.0.0/18;209.87.62.0/24;55185;6327 13768 55185;xe-5/1/0.0;No;cr1.mgmt.klwn1
77;inet.0;128.189.0.0/16;128.189.4.0/24;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
78;inet.0;128.189.0.0/16;128.189.5.0/24;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
79;inet.0;128.189.0.0/16;128.189.6.0/24;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
80;inet.2;128.189.0.0/16;128.189.4.0/24;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
81;inet.2;128.189.0.0/16;128.189.6.0/24;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
82;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.4.0/24;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
83;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.5.0/24;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
84;TRANSIT-KMLP8.inet.0;128.189.0.0/16;128.189.6.0/24;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
85;IX-KMLP8.inet.0;128.189.0.0/16;128.189.4.0/24;271;271;lt-0/1/0.50;No;cr1.mgmt.kmlp8
86;IX-KMLP8.inet.0;128.189.0.0/16;128.189.5.0/24;271;271;lt-0/1/0.50;No;cr1.mgmt.kmlp8
87;IX-KMLP8.inet.0;128.189.0.0/16;128.189.6.0/24;271;271;lt-0/1/0.50;No;cr1.mgmt.kmlp8
88;inet.0;142.231.0.0/16;142.231.109.0/24;271;271;lt-1/0/0.66;No;cr1.mgmt.kmlp8
89;mgmt_junos.inet.0;142.231.0.0/16;142.231.144.0/20;271;271;fxp0.0;No;cr1.mgmt.kmlp8
90;mgmt_junos.inet.0;142.231.0.0/16;142.231.148.0/24;271;271;fxp0.0;No;cr1.mgmt.kmlp8
91;mgmt_junos.inet.0;142.231.0.0/16;142.231.148.0/24;271;271;fxp0.0;No;cr1.mgmt.kmlp8
92;mgmt_junos.inet.0;142.231.0.0/16;142.231.148.252/32;271;271;fxp0.0;Yes;cr1.mgmt.kmlp8
93;mgmt_junos.inet.0;142.231.0.0/16;142.231.148.253/32;271;271;fxp0.0;Yes;cr1.mgmt.kmlp8
94;MANLAN.inet.0;142.231.0.0/16;142.231.144.216/30;271;271;ae3.3001;No;cr1.mgmt.kmlp8
95;MANLAN.inet.0;142.231.0.0/16;142.231.144.218/32;271;271;ae3.3001;Yes;cr1.mgmt.kmlp8
96;MANLAN.inet.0;142.231.0.0/16;142.231.144.220/30;271;271;ae3.3003;No;cr1.mgmt.kmlp8
97;MANLAN.inet.0;142.231.0.0/16;142.231.144.222/32;271;271;ae3.3003;Yes;cr1.mgmt.kmlp8
98;MANLAN.inet.0;142.231.0.0/16;142.231.148.0/24;271;271;ae0.654;No;cr1.mgmt.kmlp8
99;MANLAN.inet.0;142.231.0.0/16;142.231.151.64/28;271;271;ae3.3001;No;cr1.mgmt.kmlp8
100;MANLAN.inet.0;142.231.0.0/16;142.231.152.48/28;271;271;ae0.654;No;cr1.mgmt.kmlp8
101;MANLAN.inet.0;142.231.0.0/16;142.231.152.176/28;271;271;ae0.654;No;cr1.mgmt.kmlp8
102;MANLAN.inet.0;142.231.0.0/16;142.231.153.64/27;271;271;ae3.3001;No;cr1.mgmt.kmlp8
103;MANLAN.inet.0;142.231.0.0/16;142.231.153.96/27;271;271;ae3.3003;No;cr1.mgmt.kmlp8
